id, repo, followersCommunity, forksCommunity, followersParticipation, forksParticipation
taylorotwell, 1, 0, 0, 0.0, 0.525064629930962
driesvints, 1, 0, 261, 0.8630328699051454, 0.0
GrahamCampbell, 10241, 0, 4, 0.7980551861965897, 0.0
daylerees, 8193, 0, 301, 0.7484005684769406, 0.0
franzliedke, 1, 0, 389, 0.8801174984612461, 0.8528843252177011
jasonlewis, 1, 0, 2, 0.9462035024416626, 0.9332641850097045
sparksp, 1, 0, 12, 0.828906819225703, 0.0
cviebrock, 1, 0, 4, 0.0, 0.8207871543097718
crynobone, 1, 0, 0, 0.7653399938901333, 0.4785845400339601
tobsn, 1, -1, 12, -1, 0.8655803345545277
nunomaduro, 1, 0, 0, 0.0, 0.7583525415748049
JeffreyWay, 1, 0, 9, 0.0, 0.7577454519344969
barryvdh, 1, 0, 5, 0.8482737765777231, 0.6719960439028374
tillkruss, 1, 0, 1, 0.0, 0.7066058461328222
JosephSilber, 1, 0, 3, 0.0, 1.0
themsaid, 1, 0, 8, 0.8516888980700378, 0.6086257157449537
laurencei, 1, 0, -1, 0.0, -1
bencorlett, 1, 0, 13, 0.7712678514734409, 0.9230277153860683
ericlbarnes, 8193, 0, 14, 0.8909714480582153, 0.9181554729648168
neoascetic, 1, -1, -1, -1, -1
JesseObrien, 1, 0, 16, 0.8287345464780211, 0.9701316775204865
browner12, 8193, 0, 18, 0.7486011913289621, 0.5383831402547938
codler, 1, 2, 19, 0.9315864460891132, 0.9337545336081952
Jakobud, 1, 0, -1, 0.8526310670367464, -1
mikelbring, 1, 0, -1, 0.9518086383390857, -1
SjorsO, 1, -1, -1, -1, -1
kapv89, 1, 0, -1, 0.7867483875017012, -1
kbanman, 1, -1, -1, -1, -1
timacdonald, 1, 0, 32, 0.0, 0.0
huguesjoyal, 1, -1, -1, -1, -1
vespakoen, 1, 0, 20, 0.8234821726733963, 0.6065571791360538
mathewhany, 1, -1, -1, -1, -1
pedroborges, 1, 0, 10, 0.7890993867557534, 0.46330374797136176
roberto-aguilar, 1, 0, -1, 0.8213641661349654, -1
briankiewel, 1, 0, 5, 0.0, 0.6521337406543156
mcintyre94, 1, 53, 12, 1.0, 0.9592002877751834
chrisberthe, 8193, -1, -1, -1, -1
diogoazevedos, 1, 0, -1, 0.8816990520534272, -1
jessarcher, 1, 0, 21, 0.8343394528894195, 0.549416472971923
loic-sharma, 1, 134, 389, 0.9719182346955993, 0.9999999999999997
lancepioch, 1, 0, 221, 0.8612012117700415, 0.0
bpierre, 1, 53, -1, 0.8180068419835497, -1
TBlindaruk, 1, 0, -1, 1.0, -1
TommyC81, 1, -1, -1, -1, -1
HiroKws, 1, 0, -1, 0.0, -1
ankurk91, 1, 0, 142, 1.0, 0.0
bbashy, 1, 0, -1, 0.96579319690094, -1
DivineOmega, 1, 0, 8, 0.7938365237958466, 0.9529542418975532
m1guelpf, 1, 0, 224, 0.0, 0.9529542418975532
vfragosop, 1, -1, -1, -1, -1
vtalbot, 1, 0, 17, 0.825222535905614, 0.9999999999999997
syntaqx, 1, 21, 337, 0.9120723612481444, 0.9999999999999997
vinkla, 1, 0, 257, 0.6920566602190641, 0.0
andrey-helldar, 1, 0, 23, 1.0, 0.7422290264042118
AustinW, 1, 0, 4, 0.7836544257550929, 0.8776654623548256
fideloper, 1, 0, 5, 0.96579319690094, 0.6550955087297858
jasonmccreary, 1, 0, 21, 0.0, 0.6988061235987645
jwalton512, 1, 0, 209, 0.8379365228914151, 0.7977641426213166
JuanDMeGon, 1, 0, 26, 0.8591253476230271, 0.6192767330554986
lucasmichot, 1, 0, -1, 0.0, -1
rookwood, 1, -1, -1, -1, -1
michaeldyrynda, 1, 0, 21, 0.8587535923832973, 0.9454369703888994
nikolaynizruhin, 1, 0, 10, 1.0, 0.9529542418975532
irazasyed, 1, 0, 375, 1.0, 0.0
metaphox, 1, 108, -1, 1.0, -1
thybag, 1, -1, -1, -1, -1
vlakoff, 8193, 0, 14, 0.8638943879563925, 0.713682839956806
JoostK, 1, 4, 301, 0.7278222989943097, 0.9337545336081952
vus520, 1, 0, 28, 1.0, 0.972718479401449
martinbean, 1, 0, -1, 0.7064553296009651, -1
arcanedev-maroc, 1, 0, 30, 0.9159939054899768, 0.7218305920897756
abishekrsrikaanth, 1, 0, 31, 0.7758958384040427, 0.6774948648869388
adamwathan, 1, 0, 209, 0.8177697246554532, 1.0
astorm, 1, 19, 257, 0.0, 0.6573827088253439
ahinkle, 1, 0, 32, 0.8050240689316672, 1.0
bappi, 1, -1, -1, -1, -1
BrandonSurowiec, 1, 0, 9, 0.9167569853692303, 0.6550955087297858
bryantebeek, 1, 0, 33, 1.0, 0.8998963166297931
canvural, 1, 0, 257, 0.763408831004261, 0.0
morrislaptop, 1, -1, 26, -1, 0.8906829736400312
dcelasun, 1, 0, -1, 0.6525336348054103, -1
etelford, 1, 19, 9, 0.9243814253189693, 0.9059085881135015
freekmurze, 1, 0, 34, 0.8597760779050674, 0.644380427485141
carusogabriel, 10241, 19, -1, 0.0, -1
finagin, 1, -1, -1, -1, -1
jnoordsij, 1, -1, 5, -1, 0.6086257157449546
staudenmeir, 1, 0, 30, 0.0, 0.0
scrubmx, 1, 0, 4, 0.7931082810399726, 0.972718479401449
joshmanders, 1, 0, -1, 0.0, -1
KennedyTedesco, 1, 0, 0, 0.747704353391874, 0.46330374797136176
mvdnbrk, 1, -1, 30, -1, 0.6115227698047456
dakira, 1, -1, -1, -1, -1
mmeyer2k, 1, 0, -1, 0.7448549393607853, -1
Sadeghi85, 1, -1, -1, -1, -1
PATROMO, 1, 0, -1, 0.7689529743956056, -1
racklin, 1, 7, 23, 0.5185165234637306, 0.6648081934474883
TomorrowToday, 1, -1, -1, -1, -1
szepeviktor, 1, 19, 257, 0.8219395215062142, 0.6230935736752945
coderabbi, 1, 0, 257, 0.0, 0.0
aeberhardo, 1, -1, -1, -1, -1
netpok, 1, -1, 261, -1, 0.5383831402547938
rennokki, 1, 0, -1, 0.8643766103914738, -1
serhatdurum, 1, 0, -1, 0.7990064896104163, -1
dr-dimitru, 129, 26, 37, 0.7029255727945676, 0.9529542418975532
drakakisgeo, 1, 0, 36, 0.8907810492010726, 0.894196511574139
rk, 1, 5, 4, 0.0, 0.7455729629894358
adamgoose, 1, 0, 16, 1.0, 0.9069508512588673
aimeos, 1, 0, 38, 1.0, 0.9529542418975532
alexgalletti, 1, 0, -1, 0.8316408979514253, -1
alexwhitman, 1, -1, -1, -1, -1
alnutile, 1, 0, 4, 0.7049018559203797, 0.5654178165627024
Anahkiasen, 1, 0, 5, 0.0, 0.0
anlutro, 1, 0, 23, 0.0, 0.0
AndrewBNZ, 1, 0, -1, 0.9322159844722596, -1
dammy001, 1, 0, 40, 0.7430113146120398, 0.7305180073378723
antonkomarev, 1, 0, -1, 1.0, -1
antonioribeiro, 1, 0, 11, 0.0, 0.6723344232317008
antonybudianto, 1, 8, -1, 0.7302560461423129, -1
aryehraber, 1, -1, 297, -1, 0.6192767330554986
toszcze, 1, -1, -1, -1, -1
spawnia, 1, 0, 257, 0.0, 0.0
borisdamevin, 1, 0, -1, 0.8485903687262005, -1
calebporzio, 1, 0, 0, 0.0, 0.0
chrishow, 1, -1, 275, -1, 0.9529542418975532
webpatser, 1, 0, -1, 0.8761905871829481, -1
clemblanco, 1, 19, -1, 0.8186685718951437, -1
Codeklopper, 1, -1, 28, -1, 0.8908739871316663
SyntaxC4, 1, 9, 287, 0.8445618007991906, 0.0
danharper, 1, 134, -1, 0.9176019398405689, -1
danijelk, 1, -1, 34, -1, 0.5381943003902271
billmn, 1, 0, -1, 0.8244052552146259, -1
epalmans, 1, -1, 18, -1, 0.7218305920897756
itised, 1, -1, -1, -1, -1
EliuFlorez, 1, 0, -1, 0.9657931969009397, -1
wGEric, 1, -1, -1, -1, -1
fernandobandeira, 1, -1, -1, -1, -1
codepotato, 1, 0, -1, 0.8492369292412227, -1
garygreen, 1, 0, -1, 0.9415401903222866, -1
hannesvdvreken, 1, 0, 5, 0.7667001509531841, 0.0
insign, 1, 0, -1, 0.822884637526388, -1
imanghafoori1, 1, 0, 300, 0.8273608277756772, 0.0
josezenem, 1, 0, -1, 1.0, -1
JoshSalway, 1, 0, -1, 0.8491227306825678, -1
Jubeki, 1, 0, -1, 0.8470998950163153, -1
lkmadushan, 1, 0, -1, 0.7971020725017626, -1
kirkbushell, 1, 0, 13, 0.9581920187829349, 0.0
lucadegasperi, 1, 0, 2, 0.9281758154869353, 0.0
lukeb, 1, 0, -1, 0.8332053141407563, -1
msurguy, 1, 0, 34, 0.8421601228289664, 0.0
mmachatschek, 1, 0, -1, 0.9108684187322137, -1
yuters, 1, 0, -1, 0.815319746574284, -1
martinssipenko, 1, -1, 257, -1, 0.7874802289462501
mathieutu, 1, 0, -1, 0.0, -1
mattmcdonald-uk, 1, 0, -1, 0.0, -1
machuga, 1, 0, 16, 0.8045620226867053, 0.0
MaximeWillinger, 1, -1, -1, -1, -1
KristofMorva, 1, -1, 298, -1, 0.0
CurvesTech, 1, 0, -1, 0.8459201657648486, -1
nbayramberdiyev, 1, -1, 257, -1, 0.5079496302205402
nblackburn, 1, 0, -1, 0.6938367659363139, -1
ngyikp, 1, 0, -1, 0.8873803503045379, -1
Nirlah, 1, -1, 5, -1, 0.568339691194294
noor, 1, 15, -1, 0.8079861303095376, -1
Pasvaz, 1, 0, 109, 1.0, 0.0
patrickbrouwers, 1, 0, -1, 0.0, -1
